scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice netcoreapp3.1,throughput,1,55,1.818181818,38,69.09090909,2.192183723
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch netcoreapp3.1,throughput,1,55,1.818181818,38,69.09090909,2.297275731
Benchmarks.Trace.HttpClientBenchmark.SendAsync net472,throughput,1,55,1.818181818,31,56.36363636,2.03666553
Benchmarks.Trace.NLogBenchmark.EnrichedLog netcoreapp3.1,throughput,1,55,1.818181818,26,47.27272727,2.574519304
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net472,execution_time,0,55,0,9,16.36363636,0.1131360387
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net6.0,execution_time,0,55,0,6,10.90909091,1.972562629
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net6.0,throughput,0,55,0,6,10.90909091,1.452104811
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces net472,execution_time,0,55,0,24,43.63636364,0.5011981822
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces net472,throughput,0,55,0,26,47.27272727,0.4930898295
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net472,execution_time,0,55,0,30,54.54545455,0.3345480995
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net6.0,execution_time,0,55,0,6,10.90909091,1.113333896
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net6.0,throughput,0,55,0,6,10.90909091,1.110776886
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net472,execution_time,0,55,0,34,61.81818182,0.578022924
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody net472,execution_time,0,55,0,14,25.45454545,0.1097329677
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody net472,execution_time,0,55,0,40,72.72727273,0.6511031074
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody net472,throughput,0,55,0,43,78.18181818,1.874659583
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs net472,execution_time,0,55,0,36,65.45454545,0.4124826291
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs net6.0,execution_time,0,55,0,8,14.54545455,1.565129714
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs net6.0,throughput,0,55,0,7,12.72727273,1.383228579
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net472,execution_time,0,55,0,44,80,1.547921372
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs netcoreapp3.1,execution_time,0,55,0,31,56.36363636,1.138014039
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs netcoreapp3.1,throughput,0,55,0,33,60,0.960885213
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net472,execution_time,0,55,0,11,20,0.1107728727
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest netcoreapp3.1,throughput,0,55,0,2,3.636363636,0.04573832892
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net472,throughput,0,55,0,25,45.45454545,1.420913864
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net6.0,throughput,0,55,0,7,12.72727273,1.063912575
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,throughput,0,55,0,17,30.90909091,0.8128544568
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net472,execution_time,0,55,0,36,65.45454545,1.935083771
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net472,throughput,0,55,0,36,65.45454545,1.796321315
